Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00    10415     0.00     0.00  strNCmpCaseUtil(char*, char*, int, int)
  0.00      0.00     0.00      246     0.00     0.00  CCfgConfigTag::debugEntry(int, char const*, char const*, config_tag_struct*)
  0.00      0.00     0.00      240     0.00     0.00  strNCpyUtil(char*, char*, int)
  0.00      0.00     0.00      230     0.00     0.00  warnMsg(int, char const*, char const*, char const*)
  0.00      0.00     0.00      199     0.00     0.00  strNCpyCaseUtil(char*, char*, int, int)
  0.00      0.00     0.00      199     0.00     0.00  strSetEmptyUtil(char*)
  0.00      0.00     0.00      199     0.00     0.00  CCfgConfigTag::addNewConfigTag(int, int, char*)
  0.00      0.00     0.00       92     0.00     0.00  memSetNullUtil(unsigned char*, int)
  0.00      0.00     0.00       83     0.00     0.00  strRemoveEolUtil(char*, int)
  0.00      0.00     0.00       70     0.00     0.00  CCfgConfigTag::setConfigTagValue(char*, char*)
  0.00      0.00     0.00       65     0.00     0.00  CCfgConfigTag::findConfigTagByName(char*)
  0.00      0.00     0.00       40     0.00     0.00  CCmdListener::resetConnection(connection_struct*)
  0.00      0.00     0.00       25     0.00     0.00  CCfgConfig::getRemoteUnitAtPtr(int)
  0.00      0.00     0.00       25     0.00     0.00  CCfgRemoteUnit::getEnabled()
  0.00      0.00     0.00       19     0.00     0.00  strNCmpUtil(char*, char*, int)
  0.00      0.00     0.00       18     0.00     0.00  strNCatUtil(char*, char*, int)
  0.00      0.00     0.00       10     0.00     0.00  errMsgIfNull(char const*, char const*, char const*, void*)
  0.00      0.00     0.00       10     0.00     0.00  CAppMain::getConfigPtr()
  0.00      0.00     0.00        9     0.00     0.00  openFileUtil(_IO_FILE**, char const*, char const*, long)
  0.00      0.00     0.00        8     0.00     0.00  CCfgContext::getDataDir()
  0.00      0.00     0.00        8     0.00     0.00  CCfgRemoteUnit::getOid()
  0.00      0.00     0.00        6     0.00     0.00  allocDataArray(int, int)
