Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 49.55     16.87    16.87    66988     0.00     0.00  memNCpyUtil(unsigned char*, unsigned char*, int)
 37.45     29.62    12.75    44410     0.00     0.00  memSetNullUtil(unsigned char*, int)
  8.02     32.35     2.73    22144     0.00     0.00  CDskSuperBlockMan::findFirstFreeSuperBlock(long, long, long, long, long, long, dsk_superblock_struct**, long*)
  2.76     33.29     0.94    22226     0.00     0.00  CDskBlockMan::findBlockByBlockNum(long, long, dsk_block_struct**, long*, long*)
  2.06     33.99     0.70    22185     0.00     0.00  CDskBlockMan::findFirstFreeBlock(long, long, dsk_block_struct**, long*, long*)
  0.09     34.02     0.03    44238     0.00     0.00  getHash(char*)
  0.03     34.03     0.01   243725     0.00     0.00  CSequence::debugEntry(int, char const*, char const*, sequence_struct*)
  0.03     34.04     0.01       15     0.00     0.37  CDskSuperBlockMan::findAllByPathOidAndDiskDev(long, long, dsk_superblock_struct**, long*)
  0.03     34.05     0.01       15     0.00     0.00  CDskSuperBlockMan::countItemsByPathOidAndDiskDev(long, long, long*)
  0.00     34.05     0.00   620905     0.00     0.00  warnMsg(int, char const*, char const*, char const*)
  0.00     34.05     0.00    66487     0.00     0.00  getCurrentTimestamp()
  0.00     34.05     0.00    53390     0.00     0.00  strNCmpCaseUtil(char*, char*, int, int)
  0.00     34.05     0.00    44997     0.00     0.00  strNCpyUtil(char*, char*, int)
  0.00     34.05     0.00    44445     0.00     0.00  openFileUtil(_IO_FILE**, char const*, char const*, long)
  0.00     34.05     0.00    44424     0.00     0.00  strNCmpUtil(char*, char*, int)
  0.00     34.05     0.00    44341     0.00     0.00  CAppMain::getSequencePtr()
  0.00     34.05     0.00    44303     0.00     0.00  CSequence::nextVal(char*)
  0.00     34.05     0.00    44281     0.00     0.00  CSequence::findItem(char*, sequence_struct**)
  0.00     34.05     0.00    22200     0.00     0.00  CDskDiskDev::readBlock(long, long, long, unsigned char*, dsk_block_struct**, long*, long*)
  0.00     34.05     0.00    22166     0.00     0.00  CDskDiskDev::getOid()
  0.00     34.05     0.00    22159     0.00     0.00  CDskDiskGroup::getOid()
  0.00     34.05     0.00    22138     0.00     0.00  CDskDiskDev::writeBlock(long, long, long, unsigned char*, dsk_block_struct**, long*, long*)
  0.00     34.05     0.00     8160     0.00     0.00  CDataTable::checkScoreList(double*, long, double)
  0.00     34.05     0.00     1038     0.00     0.00  CCfgConfigTag::debugEntry(int, char const*, char const*, config_tag_struct*)
  0.00     34.05     0.00      993     0.00     0.00  strSetEmptyUtil(char*)
  0.00     34.05     0.00      926     0.00     0.00  strNCpyCaseUtil(char*, char*, int, int)
  0.00     34.05     0.00      926     0.00     0.00  CCfgConfigTag::addNewConfigTag(int, int, char*)
  0.00     34.05     0.00      780     0.00     0.00  CDskDiskManExec::getThreadAtPtr(long)
  0.00     34.05     0.00      390     0.00     0.00  CDataTable::debugEntry(int, char const*, char const*, data_table_struct*)
  0.00     34.05     0.00      390     0.00     0.00  CAppExec::addDataHist(double)
  0.00     34.05     0.00      174     0.00     0.00  CDskDiskManExec::resetThread(dsk_diskman_thread_struct*)
  0.00     34.05     0.00      139     0.00     0.00  strRemoveEolUtil(char*, int)
  0.00     34.05     0.00      132     0.00     0.00  errMsgIfNull(char const*, char const*, char const*, void*)
  0.00     34.05     0.00      117     0.00     0.00  CCfgConfigTag::setConfigTagValue(char*, char*)
  0.00     34.05     0.00      117     0.00     0.00  CCfgConfigTag::findConfigTagByName(char*)
  0.00     34.05     0.00      116     0.00     0.00  strNCatUtil(char*, char*, int)
  0.00     34.05     0.00      115     0.00     0.00  allocDataArray(int, int)
  0.00     34.05     0.00       89     0.00     0.00  freeDataArray(void*)
  0.00     34.05     0.00       72     0.00     0.00  CDskDiskManExec::initThread(dsk_diskman_thread_struct*)
  0.00     34.05     0.00       72     0.00     0.00  CDskDiskManExec::destroyThread(dsk_diskman_thread_struct*)
